Time,rpm,MAP,MILout_mirror,Vsw,Vbat,ECT,IAT,MJ_P_cmd,MJ_P_act,TIP,EGO1_volts,OILP_press,TIP_MAP_DELTA,RMT_speed,spk_adv,fuel_shutoff_chk,spark_shutoff_chk,fuel_type,OILP_state,MAT,LOWREVLIM_active,FORCEIDLE_active,BP,PWe_avg,FPin,FT,CL_BM1,Phi1_post_delt,A_BM1,EGO2_volts,fuel_ctl_mode,EGO1Z_ohms,EGO2Z_ohms,Phi_UEGO,TPS_cmd_pct,TPS_pct,gov_sw_state,rpmd_gov,gov_type,LoadLim_max,LoadLim_max_TPS,FPP_cmd_pct,FPP_pct,FPP1_pct,FPP2_pct,FPP1_idle,FPP2_idle,FPP1_full,FPP2_full,FPP1_rawfilt,FPP2_rawfilt,IVS State,KNK_retard,RS_speed,RS_speed_d,RS_pulses_per_km,start_tmr,sync_state,AUX_DIG1_volt,AUX_DIG2_volt,AUX_DIG3_volt,AUX_PU1_raw,AUX_PU2_raw,AUX_PUD1_raw,AUX_PD1_raw,AUX_PD2_raw,AUX_PUD2_raw,AUX_PUD3_raw,Gov1_volt,Gov2_volt,CAN_Rx_packs,CAN_Tx_packs,CAN2_Rx_packs,CAN2_Tx_packs,ME0mstr_MAP,ME0slv1_MAP
95.02,1798,6.182021104,0,13.87890625,14.03272119,139.1191221,98.5625,-0.485337284,-0.60690237,14.75390625,0.162029041,56.67726743,8.571885146,1800,28.5,0,0,2,0,108.3269789,0,0,14.5,7.682017544,46.796875,92.5625,-0.838551788,0,-1.791592302,0.067482404,2,210.217862,19051.40323,0,14.2290211,14.57616037,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,18970.12466,32966.92201,0,0,6.375,0
95.424,1798.653295,6.333189883,0,13.87098494,14.02559192,139.2557933,98.5625,-0.243143717,-0.241073608,14.7546658,0.698232015,56.59919674,8.421475915,1800,28.5,0,0,2,0,108.2959559,0,0,14.5,7.903508772,46.796875,92.5625,-0.750933807,0,-1.774640316,0.054147431,2,200.3775372,18901.53226,0,14.60713316,14.70268814,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19024.86721,33072.70474,0,0,6.375,0
95.759,1801.538462,6.173677885,0,13.8515625,14.03048904,139.3977068,98.57065217,-0.641086426,-0.650024414,14.7668391,0.189875422,56.47039474,8.59316122,1800,28.5,0,0,2,0,108.2670604,0,0,14.5,7.542279412,46.796875,92.5625,-0.747680664,0,-1.77847726,0.02499685,2,192.217862,18777.25806,0,14.30488,14.5922184,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19070.73684,33161.84211,0,0,6.375,0
96.145,1804.08,6.172109375,0,13.84485887,14.02638609,139.6754047,98.62309783,-0.135104665,-0.081171799,14.82607422,0.813336182,56.57777218,8.653964844,1800,28.5,0,0,2,0,108.378134,0,0,14.5,7.592130829,46.796875,92.5625,-0.747680664,0,-1.854998,0.054031332,2,193.7060403,18645.30122,0,14.16929884,14.22447663,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19124.76393,33264.2,0,0,6.357333333,0
96.494,1798.388889,6.301439607,0,13.82421875,14.0254794,139.8823406,98.68303571,-0.301168043,-0.255510603,14.79085478,0.710417991,56.35928416,8.489415173,1800,28.5,0,0,2,0,108.4867788,0,0,14.5,7.273609203,46.796875,92.5625,-0.693261785,0,-1.887954671,0.036182435,2,196.5167785,18527.86296,0,14.1825293,14.15463383,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19176.18391,33352.30233,0,0,6.299166667,0
96.884,1795.283333,6.243229167,0,13.81783854,14.02786458,140.0132131,98.78252551,-0.11768661,-0.268878937,14.75322421,0.37814181,56.3968624,8.50999504,1800,28.5,0,0,2,0,108.5801091,0,0,14.5,7.928209459,46.796875,92.5625,-0.686645508,0,-1.721525845,0.051965165,2.904109589,204.6855895,18750.86087,0,15.06777323,14.44521856,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19235.14516,33454.38095,0,0,6.26647018,0
97.194,1797.353919,6.364144151,0,13.81192661,14.01696889,140.1338876,98.84670209,-0.267409381,-0.185422625,14.75,0.740412807,56.45561739,8.385855849,1800,28.5,0,0,2,0,108.6417151,0,0,14.5,7.453373016,46.796875,92.5625,-0.686645508,0,-1.772089335,0.043575636,3,211.9053857,18981.33913,0,14.78794643,14.68056279,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19280.02885,33536.37956,0,0,6.320214979,0
97.624,1801.339683,6.349168347,0,13.85900359,14.02167008,140.3896516,98.86483637,-0.418555688,-0.520556841,14.75272177,0.183607926,56.6406502,8.403553427,1800,28.5,0,0,2,0,108.7354132,0,0,14.5,7.802929234,46.796875,92.5625,-0.686645508,0,-1.74519999,0.026356944,3,203.1529093,18924.86062,0,14.92111097,14.60545797,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19344.24,33646.63385,0,0,6.375,0
97.93,1799.512821,6.396706883,0,13.80227179,14.015625,140.5678595,98.88613014,-0.203515206,-0.161042468,14.76913962,0.761360168,56.61067708,8.372432738,1800,28.5,0,0,2,0,108.7997233,0,0,14.5,7.510245902,46.796875,92.5625,-0.686645508,0,-1.775040165,0.057010774,3,195.285521,18847.84303,0,14.77642353,14.66794527,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19391.6,33726.36,0,0,6.375,0
98.304,1806.573643,6.330310236,0,13.835,14.01634964,140.6377383,98.95017123,-0.639079819,-0.582222928,14.79652502,0.317655177,56.54825235,8.466214783,1800,28.5,0,0,2,0,108.90625,0,0,14.5,7.351888021,46.796875,92.5625,-0.686645508,0,-1.833768256,0.040897742,3,201.9346939,18927.74694,0,14.22313648,14.60935152,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19447.2,33824.4087,0,0,6.359863946,0
