========== 4G ECM Information ==========,,,,,,,,,
Download Date, 04/25/2025,,,,,,,,
Download Time, 15:05:43,,,,,,,,
ECI H/W P/N, E2492305D,,,,,,,,
ECI H/W S/N,27440,,,,,,,,
ECI Manufacture Date, 02/01/2025,,,,,,,,
ECI S/W P/N, E8100094F,,,,,,,,
ECI Mot XLS Rev,618,,,,,,,,
Software Revision:,,,,,,,,,
Current Version,618,,,,,,,,
Version - 1,618,,,,,,,,
Version - 2,478,,,,,,,,
SVN Revision,87395,,,,,,,,
SVN compile status,1,,,,,,,,
SVN compile date, 16:13:36 on 04-11-2025,,,,,,,,
ECI Initial Cal P/N, E9999999X,,,,,,,,
ECI Initial Cal Date, 04/11/2025,,,,,,,,
ECI Current Cal P/N, E9999999X,,,,,,,,
ECI Current Cal Date, 04/11/2025,,,,,,,,
Customer H/W P/N," ""53000090""",,,,,,,,
Customer S/W P/N," ""58200202-3""",,,,,,,,
Engine P/N," ""59007026""",,,,,,,,
Engine S/N," ""3924G000511""",,,,,,,,
Hour meter,26.3,,,,,,,,
Cumulative Starts,16,,,,,,,,
Emissions Calibration Checksum," ""$EB1D1E42""",,,,,,,,
Total Calibration Checksum," ""$9D420A99""",,,,,,,,
Calibration Checksum:,,,,,,,,,
Current Version," ""$9D420A99""",,,,,,,,
Version - 1," ""$8D066580""",,,,,,,,
Version - 2," ""$768045DF""",,,,,,,,
Cal Group Checksum - Current," ""$0""",,,,,,,,
2," ""$0""",,,,,,,,
3," ""$0""",,,,,,,,
4," ""$0""",,,,,,,,
5," ""$0""",,,,,,,,
6," ""$0""",,,,,,,,
7," ""$0""",,,,,,,,
8," ""$9D420A99""",,,,,,,,
Cal Group Checksum - History 1," ""$0""",,,,,,,,
2," ""$0""",,,,,,,,
3," ""$0""",,,,,,,,
4," ""$0""",,,,,,,,
5," ""$0""",,,,,,,,
6," ""$0""",,,,,,,,
7," ""$0""",,,,,,,,
8," ""$9D420A99""",,,,,,,,
Cal Group Checksum - History 2," ""$0""",,,,,,,,
2," ""$0""",,,,,,,,
3," ""$0""",,,,,,,,
4," ""$0""",,,,,,,,
5," ""$0""",,,,,,,,
6," ""$0""",,,,,,,,
7," ""$0""",,,,,,,,
8," ""$9D420A99""",,,,,,,,
,,,,,,,,,
========== 4G Histograms ==========,,,,,,,,,
Speed/Load Histogram,,,,,,,,,
,,Manifold Pressure,,,,,,,
,,0.761719,16.660156,21.761719,26.699219,26.710938,29.261719,,
Engine Speed,715,0.035639,0.023208,0,0,0,0,,
,1485,0.003306,0.005556,0,0,0,0,,
,1492,0.000056,0.000111,0,0,0,0,,
,1500,0.000097,0.000097,0,0,0,0,,
,1508,0.000042,0.000111,0,0,0,0,,
,1515,0.164014,0.001833,0.000097,0,0,0,,
,1785,0.018208,0.005264,0.001306,0.000125,0.000125,0.001208,,
,1792,0.007458,0.003597,0.000083,0.000014,0,0,,
,1800,0.337347,0.206097,0.000069,0.000014,0,0,,
,1808,0.021153,0.001375,0.000056,0.000028,0,0,,
,1815,0.018208,0.002986,0.000681,0.000125,0,0,,
,2585,0,0,0,0,0,0,,
,,,,,,,,,
Knock Histogram,,,,,,,,,
,,Manifold Pressure,,,,,,,
,,0.761719,16.660156,21.761719,26.699219,26.710938,29.261719,,
Engine Speed,1477,0,0,0,0,0,0,,
,1500,0,0,0,0,0,0,,
,1523,0,0,0,0,0,0,,
,1777,0,0,0,0,0,0,,
,1800,0,0,0,0,0,0,,
,1823,0,0,0,0,0,0,,
,,,,,,,,,
ECT Histogram,,,,,,,,,
,ECT (deg F),Time (Hours),,,,,,,
,110,0.070861,,,,,,,
,130,0.183153,,,,,,,
,170,0.565431,,,,,,,
,190,0,,,,,,,
,200,0,,,,,,,
,210,0,,,,,,,
,220,0,,,,,,,
,230,0,,,,,,,
,,,,,,,,,
Intake Backfire Histogram (Lifetime),,,,,,,,,
,,Manifold Pressure,,,,,,,
,,6,14,18,23,25,,,
Engine Speed,200,0,0,0,0,0,,,
,600,0,0,0,0,0,,,
,1000,0,0,0,0,0,,,
,1500,0,0,0,0,0,,,
,1800,0,0,0,0,0,,,
,2000,0,0,0,0,0,,,
,,,,,,,,,
Intake Backfire Histogram (Recent),,,,,,,,,
,,Manifold Pressure,,,,,,,
,,6,14,18,23,25,,,
Engine Speed,200,0,0,0,0,0,,,
,600,0,0,0,0,0,,,
,1000,0,0,0,0,0,,,
,1500,0,0,0,0,0,,,
,1800,0,0,0,0,0,,,
,2000,0,0,0,0,0,,,
,,,,,,,,,
Intake Backfire Events (Recent),,,,,,,,,
,Time (Hours),Occurrences,,,,,,,
,50,0,,,,,,,
,100,0,,,,,,,
,150,0,,,,,,,
,200,0,,,,,,,
,,,,,,,,,
========== Distributor Alignment ==========,,,,,,,,,
Cam Position,0,,,,,,,,
Cam Position Desired,0,,,,,,,,
,,,,,,,,,
========== Adaptive Learn Tables ==========,,,,,,,,,
Gasoline Adaptive Tables (Bank1/Bank2),,,,,,,,,
,,MAP (psia),,,,,,,
,,10,13,16,19,21.5,24,26.5,29
Speed (rpm),800,0,0,0,0,0,0,0,0
,1100,0,0,0,0,0,0,0,0
,1400,0,0,0,0,0,0,0,0
,1700,0,0,0,0,0,0,0,0
,2000,0,0,0,0,0,0,0,0
,,,,,A_BM1 (%),,,,
,,,,,,,,,
,,MAP (psia),,,,,,,
,,10,13,16,19,21.5,24,26.5,29
Speed (rpm),800,0,0,0,0,0,0,0,0
,1100,0,0,0,0,0,0,0,0
,1400,0,0,0,0,0,0,0,0
,1700,0,0,0,0,0,0,0,0
,2000,0,0,0,0,0,0,0,0
,,,,,A_BM2 (%),,,,
,,,,,,,,,
LPG Adaptive Table,,,,,,,,,
,,MAP (psia),,,,,,,
,,5,7,11,15,18,21,24,27
Speed (rpm),600,0,0,0,0,0,0,0,0
,1000,0,0,0,0,0,0,0,0
,1500,0,0,0,0,0,0,0,0
,1800,0,0,0,0,0,0,0,0
,2150,0,0,0,0,0,0,0,0
,,,,,A_BM (%),,,,
,,,,,,,,,
NG Adaptive Table,,,,,,,,,
,,MAP (psia),,,,,,,
,,3,8,13,18,23,28,32,36
Speed (rpm),600,0,0,0,0,0,0,0,0
,1000,0,0,0,0,0,0,0,0
,1250,0,0,0,0,0,0,0,0
,1500,0,0,0,0,0,0,0,0
